datetime;close
2/12/24;
29/11/24;16,37
27/11/24;16,54
26/11/24;17
25/11/24;17,8
22/11/24;17,54
21/11/24;17,59
20/11/24;18,34
19/11/24;17,85
18/11/24;16,97
15/11/24;17,17
14/11/24;17,39
13/11/24;17,05
12/11/24;16,25
11/11/24;16,02
8/11/24;15,91
7/11/24;17,37
6/11/24;17,63
5/11/24;19,59
4/11/24;19,91
1/11/24;19,29
31/10/24;19,46
30/10/24;18,68
29/10/24;18,51
28/10/24;18,34
25/10/24;18,88
24/10/24;18,66
23/10/24;18,98
22/10/24;18,73
21/10/24;18,19
18/10/24;17,77
17/10/24;17,57
16/10/24;17,31
15/10/24;17,38
14/10/24;17,47
11/10/24;17,27
10/10/24;17,27
9/10/24;17,62
8/10/24;17,64
7/10/24;17,71
4/10/24;17,48
3/10/24;18,28
2/10/24;18,07
1/10/24;18,57
30/9/24;18,08
27/9/24;18,59
26/9/24;18,82
25/9/24;19,13
24/9/24;19,26
23/9/24;17,72
20/9/24;17,08
19/9/24;16,76
18/9/24;17,13
17/9/24;17,49
16/9/24;17,03
13/9/24;16,88
12/9/24;16,74
11/9/24;15,52
10/9/24;16,08
9/9/24;16,16
6/9/24;16,49
5/9/24;16,48
4/9/24;16,19
3/9/24;16,55
30/8/24;16,4
29/8/24;17,22
28/8/24;17,18
27/8/24;17,69
26/8/24;17,9
23/8/24;17,49
22/8/24;17,89
21/8/24;18,63
20/8/24;18,47
19/8/24;18,77
16/8/24;20,09
15/8/24;18,16
14/8/24;18,49
13/8/24;19,18
12/8/24;20,61
9/8/24;17,8
8/8/24;18,45
7/8/24;18,12
6/8/24;19,1
5/8/24;21,95
2/8/24;18,7
1/8/24;17,61
31/7/24;17,88
30/7/24;16,3
29/7/24;15,64
26/7/24;15,2
25/7/24;15,54
24/7/24;15,98
23/7/24;15,44
22/7/24;15,74
19/7/24;16,34
18/7/24;16,25
17/7/24;16,7
16/7/24;17,15
15/7/24;15,98
12/7/24;15,12
11/7/24;15,74
10/7/24;14,89
9/7/24;14,64
8/7/24;15,13
5/7/24;15,62
3/7/24;14,89
2/7/24;14,35
1/7/24;14,86
28/6/24;14,72
27/6/24;15,01
26/6/24;14,88
25/6/24;14,88
24/6/24;15,49
21/6/24;15,86
20/6/24;16,4
18/6/24;15,64
17/6/24;15,63
14/6/24;16,07
13/6/24;15,71
12/6/24;15,92
11/6/24;16,45
10/6/24;16,66
7/6/24;17,13
6/6/24;16,85
5/6/24;16,5
4/6/24;16,22
3/6/24;16
31/5/24;15,26
30/5/24;15,74
29/5/24;15,83
28/5/24;15,92
24/5/24;15,26
23/5/24;16,03
22/5/24;16,45
21/5/24;16,76
20/5/24;17,58
17/5/24;17,4
16/5/24;16,26
15/5/24;16,99
14/5/24;16,61
13/5/24;16,52
10/5/24;16,2
9/5/24;16,27
8/5/24;15,29
7/5/24;15,75
6/5/24;16,23
3/5/24;15,83
2/5/24;16,05
1/5/24;16,25
30/4/24;16,54
29/4/24;16,92
26/4/24;16,92
25/4/24;17,32
24/4/24;17,45
23/4/24;17,73
22/4/24;17,76
19/4/24;18,51
18/4/24;18,65
17/4/24;19,01
16/4/24;20,56
15/4/24;22,25
12/4/24;20,21
11/4/24;18,97
10/4/24;18,67
9/4/24;18,3
8/4/24;18,17
5/4/24;16,92
4/4/24;17,29
3/4/24;17,49
2/4/24;17,13
1/4/24;16,25
28/3/24;15,44
27/3/24;13,58
26/3/24;12,57
25/3/24;12,09
22/3/24;12,53
21/3/24;13,42
20/3/24;13,62
19/3/24;13,48
18/3/24;13,83
15/3/24;13,54
14/3/24;13,3
13/3/24;14,09
12/3/24;14,1
11/3/24;15,5
8/3/24;15,47
7/3/24;15,09
6/3/24;15,17
5/3/24;14,54
4/3/24;14,61
1/3/24;13,47
29/2/24;11,16
28/2/24;10,93
27/2/24;10,95
26/2/24;11,29
23/2/24;11,5
22/2/24;11,19
21/2/24;11,46
20/2/24;11,81
16/2/24;11,75
15/2/24;11,79
14/2/24;12,02
13/2/24;12,15
12/2/24;11,81
9/2/24;11,2
8/2/24;11,71
7/2/24;11,84
6/2/24;12,31
5/2/24;12,49
2/2/24;12,66
1/2/24;13,72
31/1/24;13,16
30/1/24;13,05
29/1/24;13,08
26/1/24;11,91
25/1/24;12,79
24/1/24;12,7
23/1/24;12,73
22/1/24;12,83
19/1/24;12,95
18/1/24;13,09
17/1/24;13,53
16/1/24;13,55
12/1/24;13,49
11/1/24;12,8
10/1/24;13,26
9/1/24;13,16
8/1/24;13,56
5/1/24;13,81
4/1/24;14,2
3/1/24;14,85
2/1/24;15,73
29/12/23;15,85
28/12/23;16,05
27/12/23;16,96
26/12/23;15,83
22/12/23;15,25
21/12/23;14,27
20/12/23;13,82
19/12/23;13,75
18/12/23;13,79
15/12/23;13,49
14/12/23;13,96
13/12/23;13,67
12/12/23;12,82
11/12/23;13,99
8/12/23;14,14
7/12/23;14,93
6/12/23;15,4
5/12/23;15,46
4/12/23;17,13
1/12/23;16,96
30/11/23;14,22
29/11/23;15,04
28/11/23;15,54
27/11/23;13,31
24/11/23;13,05
22/11/23;13,35
21/11/23;14,09
20/11/23;12,59
17/11/23;12,97
16/11/23;13,04
15/11/23;12,98
14/11/23;13,73
13/11/23;13,92
10/11/23;13,96
9/11/23;14,06
8/11/23;14,07
7/11/23;13,33
6/11/23;13,25
3/11/23;14,04
2/11/23;14,76
1/11/23;15,36
31/10/23;16,23
30/10/23;16,84
27/10/23;17,69
26/10/23;16,53
25/10/23;16,76
24/10/23;16,05
23/10/23;17,28
20/10/23;18,56
19/10/23;19,4
18/10/23;17,38
17/10/23;16,59
16/10/23;16,22
13/10/23;18,91
12/10/23;13,98
11/10/23;14,38
10/10/23;14,49
9/10/23;15,18
6/10/23;14,03
5/10/23;14,7
4/10/23;14,58
3/10/23;15,31
2/10/23;14,13
29/9/23;12,94
28/9/23;13,09
27/9/23;13,86
26/9/23;13,63
25/9/23;11,43
22/9/23;10,87
21/9/23;11,11
20/9/23;10,96
19/9/23;11,09
18/9/23;11,1
15/9/23;10,34
14/9/23;10,22
13/9/23;10,33
12/9/23;10,82
11/9/23;10,75
8/9/23;10,99
7/9/23;11,11
6/9/23;11,31
5/9/23;11,36
1/9/23;11,28
31/8/23;11,78
30/8/23;12,39
29/8/23;12,5
28/8/23;12,21
25/8/23;12,09
24/8/23;12,53
23/8/23;12,67
22/8/23;12,58
21/8/23;12,91
18/8/23;12,63
17/8/23;12,89
16/8/23;12,43
15/8/23;12,11
14/8/23;11,97
11/8/23;11,54
10/8/23;11,84
9/8/23;12,33
8/8/23;12,21
7/8/23;12,24
4/8/23;12,22
3/8/23;12,79
2/8/23;12,45
1/8/23;11,83
31/7/23;12,16
28/7/23;11,78
27/7/23;12,29
26/7/23;12,11
25/7/23;12,42
24/7/23;12,35
21/7/23;12,23
20/7/23;12,67
19/7/23;12,89
18/7/23;12,62
17/7/23;12,34
14/7/23;12,05
13/7/23;12,73
12/7/23;13,12
11/7/23;12,64
10/7/23;12,41
7/7/23;12,12
6/7/23;12,25
5/7/23;12,46
3/7/23;12,22
30/6/23;12,04
29/6/23;12,21
28/6/23;12,53
27/6/23;12,88
26/6/23;13,08
23/6/23;12,73
22/6/23;12,96
21/6/23;12,98
20/6/23;12,73
16/6/23;12,4
15/6/23;13
14/6/23;12,84
13/6/23;13,45
12/6/23;13,7
9/6/23;13,69
8/6/23;13,94
7/6/23;13,81
6/6/23;13,94
5/6/23;14,27
2/6/23;14,32
1/6/23;15,5
31/5/23;15,63
30/5/23;15,88
26/5/23;16,3
25/5/23;16,84
24/5/23;17,56
23/5/23;17,66
22/5/23;17,55
19/5/23;17,22
18/5/23;16,95
17/5/23;16,99
16/5/23;17,62
15/5/23;17,52
12/5/23;17,37
11/5/23;17,77
10/5/23;18,37
9/5/23;18,73
8/5/23;18,67
5/5/23;18,5
4/5/23;20,35
3/5/23;18,7
2/5/23;18,69
1/5/23;16,63
28/4/23;16,47
27/4/23;17,28
26/4/23;17,74
25/4/23;17,72
24/4/23;16,88
21/4/23;16,42
20/4/23;17,21
19/4/23;17,21
18/4/23;17,14
17/4/23;17,37
14/4/23;17,16
13/4/23;18,48
12/4/23;17,69
11/4/23;18,33
10/4/23;18,54
6/4/23;18,44
5/4/23;18,98
4/4/23;19,73
3/4/23;18,25
31/3/23;17,31
30/3/23;18,39
29/3/23;17,77
28/3/23;19,03
27/3/23;19,18
24/3/23;19,96
23/3/23;20,95
22/3/23;19,22
21/3/23;19,14
20/3/23;21,4
17/3/23;22,83
16/3/23;17,38
15/3/23;19,75
14/3/23;17,95
13/3/23;20
10/3/23;16,57
9/3/23;14,3
8/3/23;13,79
7/3/23;14,2
6/3/23;14,24
3/3/23;13,93
2/3/23;13,94
1/3/23;14,16
28/2/23;14,17
27/2/23;14,35
24/2/23;14,56
23/2/23;14,84
22/2/23;15,05
21/2/23;15,48
17/2/23;14,69
16/2/23;14,92
15/2/23;14,9
14/2/23;14,88
13/2/23;15,58
10/2/23;15,46
9/2/23;15,52
8/2/23;15,46
7/2/23;15,62
6/2/23;15,81
3/2/23;15,06
2/2/23;15,14
1/2/23;15,22
31/1/23;15,75
30/1/23;15,59
27/1/23;15,23
26/1/23;15,59
25/1/23;16,12
24/1/23;16,17
23/1/23;16,2
20/1/23;16,4
19/1/23;16,71
18/1/23;16,19
17/1/23;16,49
13/1/23;16,37
12/1/23;15,95
11/1/23;16,32
10/1/23;16,59
9/1/23;16,92
6/1/23;16,44
5/1/23;16,78
4/1/23;17,35
3/1/23;17,26
30/12/22;16,25
29/12/22;16,18
28/12/22;15,99
27/12/22;16,3
23/12/22;14,86
22/12/22;14,88
