datetime;close
2/12/24;
29/11/24;34,95
27/11/24;37
26/11/24;38,74
25/11/24;37,44
22/11/24;35,74
21/11/24;36,91
20/11/24;36,74
19/11/24;37,28
18/11/24;36,89
15/11/24;35,07
14/11/24;30,9
13/11/24;37,12
12/11/24;34,32
11/11/24;37,74
8/11/24;38,76
7/11/24;42,55
6/11/24;44,74
5/11/24;45,61
4/11/24;45,75
1/11/24;44,14
31/10/24;48,79
30/10/24;41,13
29/10/24;42,47
28/10/24;42,96
25/10/24;48,97
24/10/24;46,66
23/10/24;47,78
22/10/24;47,69
21/10/24;46,82
18/10/24;47,22
17/10/24;46,88
16/10/24;47,84
15/10/24;48,64
14/10/24;51,62
11/10/24;52,68
10/10/24;52,36
9/10/24;48,8
8/10/24;52,35
7/10/24;48,32
4/10/24;46,37
3/10/24;54,5
2/10/24;46,52
1/10/24;42,87
30/9/24;39,86
27/9/24;39,62
26/9/24;39,76
25/9/24;34,4
24/9/24;33,76
23/9/24;34,39
20/9/24;32,22
19/9/24;33,72
18/9/24;36,19
17/9/24;35,29
16/9/24;34,71
13/9/24;35,22
12/9/24;36,07
11/9/24;37,76
10/9/24;40,23
9/9/24;37
6/9/24;37,58
5/9/24;36,61
4/9/24;37,95
3/9/24;35,36
30/8/24;33,36
29/8/24;31,81
28/8/24;32,12
27/8/24;31,25
26/8/24;30,99
23/8/24;30,54
22/8/24;31,73
21/8/24;32,7
20/8/24;32,05
19/8/24;32,03
16/8/24;31
15/8/24;31,14
14/8/24;31,51
13/8/24;33,26
12/8/24;35,17
9/8/24;33,37
8/8/24;34,77
7/8/24;38,01
6/8/24;40,42
5/8/24;43,63
2/8/24;38,83
1/8/24;33,42
31/7/24;33,69
30/7/24;31,49
29/7/24;30,82
26/7/24;29,77
25/7/24;26,49
24/7/24;26,85
23/7/24;26,74
22/7/24;26,83
19/7/24;26,83
18/7/24;25,68
17/7/24;25,28
16/7/24;24,41
15/7/24;23,83
12/7/24;24,12
11/7/24;24,01
10/7/24;24,01
9/7/24;24,19
8/7/24;23,81
5/7/24;23,78
3/7/24;24,62
2/7/24;25,82
1/7/24;27,29
28/6/24;26,54
27/6/24;26,28
26/6/24;26,24
25/6/24;25,75
24/6/24;25,42
21/6/24;24,74
20/6/24;24,23
18/6/24;23,73
17/6/24;24,17
14/6/24;24,71
13/6/24;24,45
12/6/24;24,8
11/6/24;25,54
10/6/24;25,69
7/6/24;26,42
6/6/24;27,71
5/6/24;29,18
4/6/24;30,59
3/6/24;30,84
31/5/24;30,34
30/5/24;29,24
29/5/24;26,77
28/5/24;27,53
24/5/24;27,56
23/5/24;28,66
22/5/24;27,71
21/5/24;27,38
20/5/24;27,89
17/5/24;28,06
16/5/24;27,08
15/5/24;28,07
14/5/24;28,01
13/5/24;28,04
10/5/24;27,88
9/5/24;27,95
8/5/24;27,91
7/5/24;27,83
6/5/24;28,58
3/5/24;28,09
2/5/24;27,65
1/5/24;28,7
30/4/24;27,87
29/4/24;27,84
26/4/24;27,81
25/4/24;28,34
24/4/24;29,04
23/4/24;28,86
22/4/24;29,7
19/4/24;31,86
18/4/24;31,4
17/4/24;33
16/4/24;33,61
15/4/24;35,59
12/4/24;32,19
11/4/24;31,27
10/4/24;30,08
9/4/24;28,96
8/4/24;30,57
5/4/24;32,36
4/4/24;32,17
3/4/24;29,08
2/4/24;29,04
1/4/24;27,65
28/3/24;26,27
27/3/24;26,6
26/3/24;27,25
25/3/24;27,49
22/3/24;26,92
21/3/24;27,53
20/3/24;28,82
19/3/24;29,22
18/3/24;29,81
15/3/24;29,77
14/3/24;31,51
13/3/24;29,52
12/3/24;29,36
11/3/24;29,11
8/3/24;29,64
7/3/24;29,57
6/3/24;29,57
5/3/24;30,19
4/3/24;30,47
1/3/24;31,08
29/2/24;31,5
28/2/24;31,21
27/2/24;31,35
26/2/24;31,71
23/2/24;31,31
22/2/24;30,55
21/2/24;31,05
20/2/24;31,81
16/2/24;30,84
15/2/24;32,02
14/2/24;32,76
13/2/24;32,37
12/2/24;32,69
9/2/24;32,44
8/2/24;31,64
7/2/24;31,21
6/2/24;33,01
5/2/24;34,43
2/2/24;34,85
1/2/24;35,38
31/1/24;37,25
30/1/24;36,19
29/1/24;36,32
26/1/24;34,78
25/1/24;35,1
24/1/24;33,99
23/1/24;34,99
22/1/24;35,71
19/1/24;35,79
18/1/24;35,98
17/1/24;37,06
16/1/24;38,34
12/1/24;40,64
11/1/24;36,78
10/1/24;36,35
9/1/24;36,09
8/1/24;36,79
5/1/24;36,07
4/1/24;37,58
3/1/24;38,22
2/1/24;39,05
29/12/23;36,22
28/12/23;36,45
27/12/23;35,41
26/12/23;34,53
22/12/23;33,32
21/12/23;35,44
20/12/23;34,98
19/12/23;35,04
18/12/23;37,09
15/12/23;35,13
14/12/23;33,98
13/12/23;36,6
12/12/23;36,38
11/12/23;35,3
8/12/23;36,24
7/12/23;37,82
6/12/23;39,72
5/12/23;36,36
4/12/23;38,08
1/12/23;35,7
30/11/23;39,4
29/11/23;42,9
28/11/23;43,14
27/11/23;43,9
24/11/23;43,38
22/11/23;42,76
21/11/23;38,52
20/11/23;39
17/11/23;40,43
16/11/23;42,53
15/11/23;39,51
14/11/23;38,29
13/11/23;39,4
10/11/23;39,29
9/11/23;41,23
8/11/23;40,44
7/11/23;38,72
6/11/23;36,31
3/11/23;38,53
2/11/23;39,79
1/11/23;40,52
31/10/23;41,99
30/10/23;44,01
27/10/23;46,64
26/10/23;43,93
25/10/23;44,91
24/10/23;41,08
23/10/23;41,74
20/10/23;43,79
19/10/23;45,7
18/10/23;44,4
17/10/23;41,37
16/10/23;40,7
13/10/23;44,24
12/10/23;38,52
11/10/23;38,94
10/10/23;39,54
9/10/23;39,85
6/10/23;35,68
5/10/23;36,59
4/10/23;35,35
3/10/23;33,25
2/10/23;32
29/9/23;32,24
28/9/23;31,62
27/9/23;32,48
26/9/23;31,3
25/9/23;30,96
22/9/23;30,61
21/9/23;31,35
20/9/23;30,38
19/9/23;30,32
18/9/23;27,91
15/9/23;27,16
14/9/23;26,56
13/9/23;25,06
12/9/23;24,23
11/9/23;24,37
8/9/23;27,16
7/9/23;27,59
6/9/23;28,33
5/9/23;28,65
1/9/23;27,48
31/8/23;26,56
30/8/23;26,63
29/8/23;27,63
28/8/23;28,66
25/8/23;28,81
24/8/23;28,88
23/8/23;28,47
22/8/23;28,56
21/8/23;28,9
18/8/23;28,43
17/8/23;29,3
16/8/23;28,54
15/8/23;28,3
14/8/23;27,55
11/8/23;28,04
10/8/23;27,27
9/8/23;28,56
8/8/23;27,14
7/8/23;27,73
4/8/23;28,06
3/8/23;28,54
2/8/23;28,74
1/8/23;28,35
31/7/23;28,48
28/7/23;29,41
27/7/23;29,12
26/7/23;29,97
25/7/23;30,63
24/7/23;30,11
21/7/23;29,65
20/7/23;30,15
19/7/23;31,06
18/7/23;30,66
17/7/23;31,34
14/7/23;30
13/7/23;30,04
12/7/23;32,69
11/7/23;32,43
10/7/23;38,35
7/7/23;34,55
6/7/23;35,13
5/7/23;33,91
3/7/23;33,88
30/6/23;33,28
29/6/23;35,42
28/6/23;36,86
27/6/23;39,3
26/6/23;36,67
23/6/23;35,36
22/6/23;34,93
21/6/23;33,26
20/6/23;34,75
16/6/23;32,99
15/6/23;33,07
14/6/23;33,66
13/6/23;32,38
12/6/23;36,35
9/6/23;33,7
8/6/23;35,18
7/6/23;34,13
6/6/23;36,07
5/6/23;37,45
2/6/23;39,6
1/6/23;40,5
31/5/23;40,68
30/5/23;39,68
26/5/23;35,95
25/5/23;36,74
24/5/23;35,86
23/5/23;35,11
22/5/23;35,52
19/5/23;35,85
18/5/23;36,02
17/5/23;36,44
16/5/23;35,98
15/5/23;35,16
12/5/23;37,32
11/5/23;35,74
10/5/23;34,13
9/5/23;35,13
8/5/23;35,54
5/5/23;37,35
4/5/23;43,75
3/5/23;43,23
2/5/23;39,48
1/5/23;35,94
28/4/23;35,63
27/4/23;37,76
26/4/23;39,25
25/4/23;36,64
24/4/23;34,28
21/4/23;35,17
20/4/23;36,41
19/4/23;34,44
18/4/23;33,69
17/4/23;32,93
14/4/23;32,51
13/4/23;32,78
12/4/23;33,74
11/4/23;34,23
10/4/23;34,31
6/4/23;34,76
5/4/23;39,14
4/4/23;39,42
3/4/23;39,49
31/3/23;40,34
